,trueLabels,predictedLabels
470,spam,spam
1151,ham,ham
839,spam,spam
122,spam,spam
4524,ham,ham
3743,ham,ham
252,ham,ham
843,spam,spam
1855,ham,ham
4030,ham,ham
5054,ham,ham
4029,ham,ham
4784,spam,spam
5549,ham,ham
4855,ham,ham
4551,ham,ham
2330,ham,ham
2300,ham,ham
3495,ham,ham
4941,ham,ham
272,spam,spam
3002,ham,ham
5289,ham,ham
1083,ham,ham
1550,ham,ham
3281,ham,ham
2172,ham,ham
867,spam,spam
1247,ham,ham
1640,ham,ham
4339,ham,ham
433,ham,ham
2114,spam,spam
3174,spam,spam
2754,ham,ham
3363,ham,ham
4983,spam,spam
473,spam,spam
788,spam,spam
4922,ham,ham
5094,ham,ham
5086,ham,ham
389,ham,ham
4218,ham,ham
4125,spam,spam
878,spam,spam
2499,ham,ham
4230,ham,ham
4893,ham,ham
1556,ham,ham
4220,ham,ham
2269,ham,ham
5489,ham,ham
1416,ham,ham
5220,ham,ham
2631,spam,spam
3402,ham,ham
4694,spam,spam
1279,ham,ham
4214,ham,ham
19,spam,spam
2005,ham,ham
1434,ham,ham
3290,ham,ham
5472,ham,ham
3465,ham,ham
1195,spam,ham
3239,ham,ham
3624,ham,ham
106,ham,ham
829,ham,ham
1185,ham,ham
5476,ham,ham
2703,ham,ham
330,ham,ham
1375,ham,ham
898,ham,ham
2117,ham,ham
3598,ham,ham
2894,ham,ham
3533,ham,ham
2903,ham,ham
3748,spam,ham
2715,ham,ham
4978,ham,ham
3222,ham,ham
2028,ham,ham
5507,ham,ham
511,ham,ham
4408,spam,spam
4439,ham,ham
3948,ham,ham
5183,ham,ham
2781,ham,ham
2281,ham,ham
2332,ham,ham
3928,ham,ham
559,ham,ham
1859,ham,ham
3159,ham,ham
722,ham,ham
1740,spam,spam
5064,ham,ham
5296,ham,ham
1130,ham,ham
2416,ham,ham
2446,ham,ham
3051,ham,ham
5228,spam,spam
2279,ham,ham
3961,spam,spam
3457,ham,ham
1805,ham,ham
2554,ham,ham
3253,ham,ham
2215,ham,ham
494,ham,ham
2231,ham,ham
4980,ham,ham
1177,ham,ham
4652,ham,ham
704,ham,ham
932,ham,ham
2272,ham,ham
3724,ham,ham
5096,ham,ham
2227,ham,ham
3601,ham,ham
2153,ham,ham
1152,ham,ham
186,ham,ham
673,ham,ham
2953,ham,ham
4464,ham,ham
5292,spam,spam
3388,ham,ham
2718,spam,spam
5372,ham,ham
3710,ham,ham
1461,ham,ham
4370,ham,ham
2435,ham,ham
5478,ham,ham
4822,ham,ham
5429,ham,ham
2216,ham,ham
2567,ham,ham
4610,ham,ham
4632,ham,ham
2344,ham,ham
4179,ham,ham
3944,ham,ham
5376,ham,ham
2351,spam,ham
1610,ham,ham
1094,ham,ham
1328,ham,ham
1129,ham,ham
184,ham,ham
4037,ham,ham
4011,ham,ham
5477,ham,ham
4392,spam,ham
3195,ham,ham
3294,ham,ham
75,ham,ham
3670,ham,ham
2382,ham,ham
5104,ham,ham
3112,ham,ham
3444,ham,ham
4448,spam,spam
1465,spam,spam
3481,spam,spam
3225,ham,ham
2367,ham,ham
1618,ham,ham
3314,spam,spam
5404,ham,ham
4857,ham,ham
1925,ham,ham
940,ham,ham
5248,ham,ham
4260,ham,ham
4659,ham,ham
5571,ham,ham
2849,ham,ham
3534,ham,ham
1161,ham,ham
103,ham,ham
3551,ham,ham
1631,ham,ham
2505,ham,ham
3815,ham,ham
5361,ham,ham
810,ham,ham
2801,ham,ham
5354,ham,ham
1284,ham,ham
1409,ham,ham
4340,ham,ham
4481,ham,ham
4063,ham,ham
2961,ham,ham
41,ham,ham
417,spam,spam
2278,ham,ham
291,ham,ham
3018,ham,ham
2458,ham,ham
2385,spam,spam
30,ham,ham
896,ham,ham
2203,ham,ham
608,ham,ham
5185,ham,ham
1401,ham,ham
4555,ham,ham
3349,ham,ham
2910,ham,ham
5065,ham,ham
601,ham,ham
2097,ham,ham
2770,ham,ham
390,ham,ham
5123,ham,ham
3849,ham,ham
2075,ham,ham
733,ham,ham
2549,ham,ham
4098,ham,ham
4820,ham,ham
172,ham,ham
4001,ham,ham
1363,ham,ham
4205,ham,ham
4015,ham,ham
1344,ham,ham
1270,ham,ham
4851,ham,ham
1990,ham,ham
4903,ham,ham
4400,ham,ham
2415,ham,ham
964,ham,ham
3167,ham,ham
5191,ham,ham
2958,ham,ham
2276,ham,ham
4928,spam,ham
4892,ham,ham
2735,ham,ham
4182,ham,ham
1446,ham,ham
3019,ham,ham
1873,spam,spam
792,ham,ham
1991,ham,ham
2429,spam,ham
3200,ham,ham
4258,ham,ham
4899,spam,spam
2536,ham,ham
2761,ham,ham
4484,ham,ham
2547,spam,ham
713,ham,ham
2067,ham,ham
1405,ham,ham
2184,ham,ham
5231,ham,ham
263,spam,ham
3684,ham,ham
2155,ham,ham
1390,ham,ham
2219,spam,spam
535,ham,ham
577,ham,ham
4009,spam,spam
1312,ham,ham
1928,spam,spam
3259,ham,ham
1253,ham,ham
2460,ham,ham
2362,ham,ham
2596,ham,ham
4993,ham,ham
2936,ham,ham
1595,ham,ham
5422,ham,ham
3071,ham,ham
2223,spam,spam
1187,ham,ham
4000,ham,ham
3260,ham,ham
2629,ham,ham
5341,ham,ham
831,ham,ham
3630,ham,ham
1103,ham,ham
1215,ham,ham
5379,ham,ham
5470,ham,ham
4799,ham,ham
279,ham,ham
1806,spam,spam
3783,ham,ham
1106,ham,ham
1584,ham,ham
1148,ham,ham
4625,ham,ham
5274,ham,ham
2540,ham,ham
5564,ham,ham
3348,ham,ham
1420,ham,ham
849,spam,spam
4147,spam,ham
3016,ham,ham
3883,spam,ham
4906,ham,ham
3359,ham,ham
217,ham,ham
2089,ham,ham
3255,ham,ham
2013,spam,spam
797,ham,ham
2586,ham,ham
3897,ham,ham
3746,ham,ham
3726,ham,ham
3464,ham,ham
1209,ham,ham
4247,spam,ham
5099,ham,ham
4878,ham,ham
2261,ham,ham
3979,spam,ham
195,ham,ham
4354,ham,ham
1968,ham,ham
5399,ham,ham
477,ham,ham
689,spam,ham
4986,ham,ham
2038,ham,ham
4582,spam,spam
521,ham,ham
2765,ham,ham
3577,ham,ham
4137,ham,ham
4455,ham,ham
4154,spam,spam
1160,ham,ham
3914,ham,ham
77,ham,ham
1832,ham,ham
5324,ham,ham
4412,ham,ham
2510,ham,ham
3113,ham,ham
3355,ham,ham
4549,ham,ham
5330,ham,ham
4449,ham,ham
2915,ham,ham
1708,ham,ham
1885,ham,ham
859,ham,ham
4300,ham,ham
4172,ham,ham
4971,ham,ham
3651,ham,ham
2700,ham,ham
419,spam,spam
1414,ham,ham
3626,ham,ham
1255,ham,ham
4089,spam,spam
620,ham,ham
3808,ham,ham
4113,ham,ham
2834,ham,ham
592,spam,spam
646,ham,ham
4583,ham,ham
2916,ham,ham
3423,spam,ham
3603,ham,ham
5531,ham,ham
4444,ham,ham
375,ham,ham
2453,ham,ham
4497,spam,spam
3129,ham,ham
3766,ham,ham
4501,ham,ham
963,ham,ham
12,spam,spam
2623,ham,ham
1611,ham,ham
2842,ham,ham
3643,ham,ham
4121,ham,ham
1184,ham,ham
3830,ham,ham
1510,ham,ham
139,ham,ham
81,ham,ham
4203,ham,ham
4434,spam,ham
299,ham,ham
1837,ham,ham
5348,ham,ham
1074,ham,ham
2065,ham,ham
1642,ham,ham
3389,spam,ham
3530,ham,ham
237,ham,ham
294,ham,ham
982,spam,spam
2179,ham,ham
1127,ham,ham
1973,ham,ham
3373,ham,ham
4933,ham,ham
1439,ham,ham
4599,ham,ham
1904,ham,ham
5520,ham,ham
724,ham,ham
3771,ham,ham
153,ham,ham
4018,spam,spam
3201,ham,ham
3439,ham,ham
4328,ham,ham
310,ham,ham
4854,ham,ham
208,ham,ham
1842,ham,ham
5016,spam,spam
1659,ham,ham
2920,ham,ham
1898,ham,ham
362,ham,ham
1366,ham,ham
980,ham,ham
5277,ham,ham
1759,ham,ham
2661,ham,ham
4952,ham,ham
1686,spam,spam
728,ham,ham
1929,spam,spam
2594,ham,ham
4005,ham,ham
4629,ham,ham
4278,spam,ham
5069,spam,spam
369,ham,ham
2162,ham,ham
2823,ham,ham
3934,ham,ham
4492,ham,ham
2003,ham,ham
3788,ham,ham
2008,ham,ham
4596,ham,ham
2628,ham,ham
4927,ham,ham
1918,ham,ham
2492,ham,ham
745,ham,ham
1655,ham,ham
2059,ham,ham
2610,ham,ham
4351,ham,ham
4324,ham,ham
595,ham,ham
3870,ham,ham
79,ham,ham
1670,ham,ham
2649,ham,ham
4430,ham,ham
498,ham,ham
5487,spam,spam
371,ham,ham
2630,ham,ham
2100,ham,ham
1191,ham,ham
4180,ham,ham
3369,ham,ham
3716,ham,ham
423,spam,spam
5410,ham,ham
379,ham,ham
863,ham,ham
3548,ham,ham
4620,ham,ham
2515,ham,ham
4246,spam,spam
3867,ham,ham
4261,ham,ham
3512,ham,ham
4467,ham,ham
851,ham,ham
2275,ham,ham
10,ham,ham
1055,ham,ham
1872,ham,ham
1010,ham,ham
1186,ham,ham
4921,ham,ham
5565,ham,ham
109,ham,ham
200,ham,ham
4453,ham,ham
1207,ham,ham
3486,ham,ham
5175,ham,ham
3865,ham,ham
1511,ham,ham
2120,ham,ham
3433,ham,ham
2732,ham,ham
3691,ham,ham
707,ham,ham
2157,ham,ham
4709,ham,ham
719,ham,ham
4138,ham,ham
4567,ham,ham
213,ham,ham
152,ham,ham
1982,ham,ham
1768,ham,ham
1917,ham,ham
162,ham,ham
3784,ham,ham
1072,spam,spam
1017,ham,ham
4828,ham,ham
5481,ham,ham
3487,ham,ham
3925,ham,ham
4961,ham,ham
2160,ham,ham
1378,ham,ham
2720,ham,ham
2094,spam,spam
652,ham,ham
24,ham,ham
4889,ham,ham
688,ham,ham
4326,ham,ham
2814,ham,ham
2721,ham,ham
4554,ham,ham
3365,ham,ham
4065,ham,ham
187,spam,spam
90,ham,ham
4513,ham,ham
5006,ham,ham
492,ham,ham
3277,ham,ham
4171,ham,ham
1099,ham,ham
105,ham,ham
1557,ham,ham
2375,ham,ham
571,ham,ham
4523,ham,ham
669,ham,ham
3161,ham,ham
288,ham,ham
4571,ham,ham
4746,ham,ham
2495,spam,spam
5245,ham,ham
315,ham,ham
3776,spam,ham
2236,ham,ham
5113,ham,ham
1771,ham,ham
1529,ham,ham
2346,ham,ham
3802,ham,ham
4236,ham,ham
1737,ham,ham
3738,ham,ham
999,ham,ham
1443,spam,spam
3434,ham,ham
1782,ham,ham
4264,ham,ham
3976,spam,spam
4499,ham,ham
1831,ham,ham
777,ham,ham
2290,ham,ham
1357,ham,ham
1089,ham,ham
3700,ham,ham
5021,ham,ham
1645,ham,ham
3049,ham,ham
4350,ham,ham
3938,ham,ham
343,ham,ham
177,ham,ham
2650,ham,ham
3246,ham,ham
3386,ham,ham
1852,spam,spam
1875,spam,spam
4367,ham,ham
2678,ham,ham
4585,spam,ham
5055,ham,ham
3117,ham,ham
5331,ham,ham
4281,ham,ham
3244,ham,ham
4720,ham,ham
1220,spam,spam
3068,ham,ham
192,ham,ham
4785,ham,ham
191,ham,ham
3149,ham,ham
2575,ham,ham
3463,ham,ham
5463,ham,ham
4688,ham,ham
5075,ham,ham
5268,ham,ham
3739,ham,ham
1567,ham,ham
840,ham,ham
5450,ham,ham
3792,ham,ham
1487,ham,ham
3061,ham,ham
2476,ham,ham
5265,ham,ham
1057,ham,ham
4691,ham,ham
3569,spam,spam
178,ham,ham
2316,ham,ham
1938,ham,ham
1205,ham,ham
4078,ham,ham
3336,ham,ham
4938,ham,ham
4690,ham,ham
5144,ham,ham
5001,ham,ham
3954,ham,ham
4288,ham,ham
2230,ham,ham
1076,ham,ham
1536,ham,ham
4424,ham,ham
1043,ham,ham
5176,ham,ham
3594,ham,ham
1445,ham,ham
921,ham,ham
5177,ham,ham
2295,ham,ham
40,ham,ham
757,ham,ham
1256,ham,ham
5454,ham,ham
1533,ham,ham
5517,ham,ham
1924,ham,ham
4316,ham,ham
3590,ham,ham
5155,ham,ham
1506,spam,ham
290,ham,ham
5524,spam,spam
271,ham,ham
720,ham,ham
2370,ham,ham
2852,ham,ham
651,ham,ham
5500,ham,ham
76,ham,ham
273,ham,ham
1746,ham,ham
2787,ham,ham
1553,ham,ham
1636,ham,ham
2528,ham,ham
3827,ham,ham
3737,ham,ham
3210,ham,ham
2719,ham,ham
3360,ham,ham
3340,ham,ham
3696,spam,spam
3258,spam,spam
2141,ham,ham
138,spam,ham
4399,ham,ham
4212,ham,ham
3542,ham,ham
2991,ham,ham
136,ham,ham
1843,ham,ham
5383,ham,ham
3331,ham,ham
2283,ham,ham
804,ham,ham
3254,ham,ham
4989,spam,spam
4108,ham,ham
3224,ham,ham
3302,ham,ham
2400,ham,ham
5049,ham,ham
5338,ham,ham
2439,ham,ham
3132,ham,ham
4544,ham,ham
5141,spam,spam
1941,spam,spam
327,ham,ham
1998,ham,ham
3462,ham,ham
166,spam,spam
5534,ham,ham
5235,ham,ham
2270,ham,ham
4631,ham,ham
4806,spam,spam
2645,ham,ham
4242,ham,ham
3636,ham,ham
666,ham,ham
1606,ham,ham
1950,ham,ham
1752,ham,ham
2353,spam,ham
4670,ham,ham
2969,ham,ham
197,ham,ham
2313,ham,ham
1983,ham,ham
3877,ham,ham
469,ham,ham
5260,ham,ham
579,ham,ham
2767,ham,ham
120,spam,spam
5566,spam,ham
4557,ham,ham
4396,ham,ham
2818,ham,ham
1349,spam,ham
3755,ham,ham
4494,ham,ham
3887,ham,ham
748,ham,ham
2640,ham,ham
2396,ham,ham
3973,ham,ham
4794,ham,ham
3429,ham,ham
4660,ham,ham
1578,ham,ham
2195,ham,ham
4487,ham,ham
3297,spam,spam
3553,ham,ham
1828,ham,ham
4043,ham,ham
4082,ham,ham
3667,ham,ham
2126,ham,ham
296,ham,ham
2641,spam,spam
2111,ham,ham
3981,ham,ham
3014,ham,ham
149,ham,ham
5537,spam,spam
4199,ham,ham
3693,ham,ham
2541,ham,ham
828,ham,ham
2757,ham,ham
4093,ham,ham
2977,ham,ham
4646,ham,ham
3300,spam,ham
1457,spam,ham
230,ham,ham
4733,spam,spam
3042,ham,ham
1734,ham,ham
1171,spam,ham
3969,ham,ham
2998,ham,ham
4734,ham,ham
2361,ham,ham
1358,ham,ham
613,ham,ham
3430,ham,ham
2573,spam,spam
3252,ham,ham
1861,ham,ham
5300,ham,ham
4831,ham,ham
644,ham,ham
3560,spam,spam
655,ham,ham
5128,ham,ham
2037,ham,ham
987,ham,ham
599,ham,ham
3279,ham,ham
1135,ham,ham
5060,ham,ham
164,spam,ham
53,ham,ham
3774,ham,ham
5455,ham,ham
3350,ham,ham
1907,ham,ham
227,ham,ham
4312,ham,ham
5506,ham,ham
190,spam,ham
5529,ham,ham
3158,ham,ham
4912,spam,ham
1986,ham,ham
5351,ham,ham
3378,ham,ham
4067,spam,ham
267,spam,spam
110,ham,ham
1079,ham,ham
520,ham,ham
5087,ham,ham
1508,ham,ham
827,ham,ham
645,ham,ham
4678,ham,ham
3775,ham,ham
631,ham,ham
2743,ham,ham
5092,ham,ham
4321,ham,ham
3420,spam,spam
2986,ham,ham
2376,ham,ham
238,ham,ham
365,ham,ham
1330,ham,ham
1895,ham,ham
976,ham,ham
1792,spam,ham
1170,ham,ham
4651,ham,ham
3781,ham,ham
450,ham,ham
4477,ham,ham
3787,spam,spam
2584,ham,ham
4251,ham,ham
346,ham,ham
3010,ham,ham
1878,ham,ham
2846,spam,ham
1555,ham,ham
2752,ham,ham
848,ham,ham
529,ham,ham
3956,ham,ham
3374,ham,ham
4931,ham,ham
1647,ham,ham
5545,ham,ham
807,ham,ham
1565,ham,ham
2869,spam,spam
1399,ham,ham
2211,ham,ham
3214,ham,ham
1393,ham,ham
486,spam,spam
4228,ham,ham
3304,ham,ham
647,spam,spam
2315,ham,ham
926,ham,ham
1119,spam,ham
2865,ham,ham
3778,spam,ham
2095,ham,ham
2428,ham,ham
245,ham,ham
2520,ham,ham
4148,ham,ham
4094,ham,ham
5118,ham,ham
4465,ham,ham
2751,ham,ham
3329,ham,ham
276,ham,ham
5000,ham,ham
2490,ham,ham
1338,ham,ham
1359,ham,ham
1397,ham,ham
4471,spam,ham
3266,ham,ham
2064,ham,ham
2009,ham,ham
2457,ham,ham
4114,ham,ham
784,ham,ham
1902,ham,ham
3347,ham,ham
286,ham,ham
2617,ham,ham
996,ham,ham
4022,ham,ham
2512,ham,ham
2613,ham,ham
2723,ham,ham
2799,ham,ham
4378,ham,ham
38,ham,ham
3566,spam,spam
1271,ham,ham
3665,ham,ham
1134,ham,ham
1916,ham,ham
297,ham,ham
1544,ham,ham
729,ham,ham
2176,ham,ham
732,ham,ham
1429,spam,ham
137,ham,ham
803,spam,spam
193,ham,ham
2018,ham,ham
3295,ham,ham
1120,ham,ham
3385,ham,ham
3325,ham,ham
425,ham,ham
1091,ham,ham
497,ham,ham
2208,spam,spam
1622,spam,spam
1265,ham,ham
2909,ham,ham
199,ham,ham
1807,ham,ham
4002,ham,ham
978,ham,ham
2542,ham,ham
147,ham,ham
2142,ham,ham
382,ham,ham
1531,ham,ham
3327,ham,ham
2864,ham,ham
2739,ham,ham
2297,ham,ham
649,spam,spam
4411,ham,ham
779,ham,ham
4838,ham,ham
84,ham,ham
1505,ham,ham
42,spam,spam
3631,ham,ham
3975,ham,ham
1653,ham,ham
3123,ham,ham
994,ham,ham
752,ham,ham
1710,ham,ham
1045,ham,ham
2887,ham,ham
975,ham,ham
4508,ham,ham
4749,ham,ham
1015,ham,ham
3154,ham,ham
4679,ham,ham
1564,ham,ham
2712,ham,ham
4965,spam,spam
1668,ham,ham
1685,ham,ham
1402,ham,ham
2323,ham,ham
1046,ham,ham
809,ham,ham
820,ham,ham
2002,spam,ham
3169,ham,ham
2714,ham,ham
2466,ham,ham
2255,ham,ham
4343,ham,ham
5316,ham,ham
3943,ham,ham
5254,ham,ham
3291,ham,ham
5048,ham,ham
818,ham,ham
437,ham,ham
2472,spam,spam
823,spam,spam
3188,ham,ham
1665,ham,ham
1062,ham,ham
2139,ham,ham
3081,ham,ham
1568,ham,ham
5156,ham,ham
207,ham,ham
871,ham,ham
3057,spam,ham
3211,ham,ham
1181,ham,ham
2884,ham,ham
3835,ham,ham
2597,ham,ham
2803,ham,ham
3930,ham,ham
1834,ham,ham
4563,ham,ham
5251,ham,ham
4650,spam,spam
4066,spam,ham
2979,ham,ham
5307,ham,ham
4386,ham,ham
2019,ham,ham
4812,ham,ham
3485,ham,ham
3030,ham,ham
4349,ham,ham
2414,ham,ham
906,spam,spam
4307,ham,ham
2485,ham,ham
3133,ham,ham
835,ham,ham
4305,ham,ham
4664,ham,ham
3958,ham,ham
1719,ham,ham
5180,ham,ham
875,spam,spam
2966,ham,ham
3892,ham,ham
427,ham,ham
3965,ham,ham
2558,ham,ham
1026,ham,ham
1053,ham,ham
4923,ham,ham
4963,spam,ham
1601,ham,ham
485,ham,ham
2441,ham,ham
3343,ham,ham
1298,ham,ham
4753,ham,ham
3770,ham,ham
743,ham,ham
2214,ham,ham
1961,ham,ham
4540,ham,ham
962,ham,ham
596,ham,ham
1829,spam,ham
4092,ham,ham
3558,spam,spam
5388,ham,ham
3621,ham,ham
2055,ham,ham
4982,ham,ham
4327,spam,spam
1303,ham,ham
3922,ham,ham
1447,ham,ham
2443,ham,ham
4529,ham,ham
3059,ham,ham
852,ham,ham
211,ham,ham
5447,ham,ham
2445,ham,ham
2901,ham,ham
4937,ham,ham
2769,spam,ham
4170,ham,ham
3410,ham,ham
3399,spam,spam
5206,ham,ham
3844,ham,ham
4727,ham,ham
3819,ham,ham
4538,ham,ham
1539,ham,ham
5271,ham,ham
4080,ham,ham
2611,spam,spam
4053,ham,ham
2284,ham,ham
3554,spam,ham
995,ham,ham
451,ham,ham
3262,ham,ham
5031,ham,ham
3834,ham,ham
2437,spam,spam
4475,ham,ham
2624,ham,ham
2955,ham,ham
1301,ham,ham
5005,ham,ham
1993,ham,ham
2345,ham,ham
3719,ham,ham
440,ham,ham
668,ham,ham
1475,ham,ham
233,ham,ham
1131,ham,ham
2518,ham,ham
13,ham,ham
3088,ham,ham
949,ham,ham
1833,ham,ham
4796,spam,ham
4012,ham,ham
2502,ham,ham
50,ham,ham
2535,ham,ham
4550,ham,ham
3332,spam,spam
4703,ham,ham
2418,ham,ham
1867,ham,ham
3924,ham,ham
2982,ham,ham
4520,ham,ham
1804,ham,ham
4881,ham,ham
316,ham,ham
1996,ham,ham
4488,ham,ham
4105,ham,ham
3632,ham,ham
2273,ham,ham
4221,ham,ham
1448,spam,spam
